Account Statement - (@FooBar) - June 1st to September 1st 2021 ,,,,,,,,,,,,,,,,,,
Account Activity,,,,,,,,,,,,,,,,,,
,ID,Datetime,Type,Status,Note,From,To,Amount (total),Amount (tip),Amount (fee),Funding Source,Destination,Beginning Balance,Ending Balance,Statement Period Venmo Fees,Terminal Location,Year to Date Venmo Fees,Disclaimer
,,,,,,,,,,,,,$100.00,,,,,
,1111111111111111111,2021-06-12T03:13:29,Payment,Complete,Roam 🍔,Lorax,Chuck,- $18.00,,,Venmo balance,,,,,Venmo,,
,2222222222222222222,2021-06-16T23:35:52,Payment,Complete,dog stuff,Biff,Lorax,+ $138.00,,,,Venmo balance,,,,Venmo,,
,3333333333333333333,2021-06-19T03:57:59,Payment,Complete,Dinner,Lorax,Biff,+ $30.00,,,,Venmo balance,,,,Venmo,,
,4444444444444444444,2021-06-23T20:06:31,Charge,Complete,Pizza,Chuck,Lorax,- $37.00,,,Venmo balance,,,,,Venmo,,
,5555555555555555555,2021-07-30T23:18:13,Payment,Complete,class,Lorax,Biff,- $60.00,,,Venmo balance,,,,,Venmo,,
,6666666666666666666,2021-08-19T13:36:13,Payment,Complete,Stuff for camping trip Costco,Lorax,Mork,- $132.00,,,Venmo balance,,,,,Venmo,,
,7777777777777777777,2021-08-26T10:33:18,Payment,Complete,⛽ 🏕,Lorax,Garth,- $40.00,,,Venmo balance,,,,,Venmo,,
,8888888888888888888,2021-08-29T20:06:31,Charge,Complete,Pretzels,Lorax,Mork,+ $50.00,,,Venmo balance,,,,,Venmo,,
,9999999999999999999,2021-08-30T02:40:19,Charge,Complete,rounding test,Garth,Lorax,- $8.78,,,Venmo balance,,,,,Venmo,,
,,,,,,,,,,,,,,$284.22,$0.00,,$0.00,"In case of errors or questions about your
        electronic transfers:
        - Telephone us at 855-812-4430
        - Write the Venmo Error Resolution Department at
          222  W. Merchandise Plaza, Suite 800, Chicago, IL 60654; or
        - Write to us through the Contact Us page
          (https://help.venmo.com/hc/en-us/requests/new)
        Contact us as soon as you can if you think your statement or
        receipt is wrong or if you need more information about
        a transfer on the statement or receipt. We must hear from
        you no later than 60 days after we sent you the FIRST
        statement on which the error or problem appeared.
        1. Tell us your name and username or phone number.
        2. Describe the error or the transfer you are unsure about,
           and explain as clearly as you can why you believe it is
           an error or why you need more information.
        3. Tell us the dollar amount of the suspected error.
        We will investigate your complaint and will correct any
        error promptly. If we take more than 10 business days to do
        this, we will credit your account for the amount you think
        is in error, so that you will have the use of the money
        during the time it takes us to complete our investigation.
        In case of errors or questions about your transactions made
        with your Venmo Mastercard, please consult your
        Cardholder Agreement
        (https://venmo.com/legal/bancorp-cardholder-agreement).
        "
